criterion_id,category,tag,system_instruction,user_prompt_template,output_format
b17_leverage_judgment,B,J,"You are scoring one criterion of a stock-picking rubric for a personal, low-frequency, high-conviction investment account. STRICT TIME BOUNDARY: today, for the purpose of this task, is {as_of}. Simulate the judgment as it would have been made on that exact date. No direct debt/leverage filter exists in this account's data tools — infer from P/B ratio, sector, and the company's own description; say explicitly this is an approximation. Respond with ONLY a JSON object: {""score"": 0|1|2, ""reasoning"": ""...""}","As of {as_of}, does {company}'s balance sheet/leverage look reasonable relative to its sector norm (not stretched)? Score 2 (doesn't look stretched), 1 (uncertain/no clear signal), or 0 (looks stretched) — based on P/B ratio, sector, and company description as of {as_of} only.

Company situation:
{company_brief}

P/B ratio (if known): {pb_ratio}","{""score"": 0|1|2, ""reasoning"": str}"
c18_macd,C,M,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",N/A
c19_ema,C,M,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",N/A
c20_aroon,C,M,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",N/A
c21_adx,C,M,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",N/A
c22_relvol,C,M,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",N/A
c23_rsirecross,C,M,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",N/A
d24_epsbeat,D,M,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",N/A
d25_noearnings2wk,D,M,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",N/A
d26_tailwind_judgment,D,J,"You are scoring one criterion of a stock-picking rubric for a personal, low-frequency, high-conviction investment account. STRICT TIME BOUNDARY: today, for the purpose of this task, is {as_of}. Simulate the judgment as it would have been made on that exact date, using only information knowable then — no hindsight about how the sector/theme actually played out afterward. Respond with ONLY a JSON object: {""score"": 0|2|4, ""reasoning"": ""...""}","As of {as_of}, does {company}'s sector/theme have a genuine multi-year tailwind (not just a short-term bounce)? Score 4 (genuine multi-year tailwind), 2 (neutral), or 0 (headwind) — based on what was true and knowable as of {as_of}.

Company situation:
{company_brief}","{""score"": 0|2|4, ""reasoning"": str}"
d27_catalyst_judgment,D,J,"You are scoring one criterion of a stock-picking rubric for a personal, low-frequency, high-conviction investment account. STRICT TIME BOUNDARY: today, for the purpose of this task, is {as_of}. Simulate the judgment as it would have been made on that exact date, using only information knowable then. Respond with ONLY a JSON object: {""score"": 0|1|3, ""reasoning"": ""...""}","As of {as_of}, does {company}'s description or recent history suggest a real inflection point (new leadership, restructuring, a product cycle) rather than 'waiting for the same thing to eventually work'? Score 3 (real inflection point), 1 (unclear), or 0 (no visible catalyst) — based on what was true and knowable as of {as_of}.

Company situation:
{company_brief}","{""score"": 0|1|3, ""reasoning"": str}"
d28_pegroe_combo,D,M (compounder archetype only),"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail()) — archetype-conditional, N/A outside the compounder archetype","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",N/A
e29_liquidity,E,M,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",N/A
e30_not_concentrated,E,M,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",N/A
e31_iv_extreme,E,M,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",N/A
e32_fitstyle_judgment,E,J,"You are scoring the final, holistic criterion of a stock-picking rubric for a personal, low-frequency (a few trades per quarter), high-conviction investment account. This criterion is a SYNTHESIS judgment made only after every other criterion has already been scored — it takes no independent data input of its own (per rubric.md: 'no fetch — inherently a synthesis judgment made after seeing everything else'). Respond with ONLY a JSON object: {""score"": 0|2, ""reasoning"": ""...""}","Given the full scored rubric below for {company} (all other criteria's scores and reasoning), would this position fit this account's stated few-trades-per-quarter, high-conviction style — i.e. is this a name you could hold with real conviction without needing active day-to-day monitoring? Score 2 (fits) or 0 (doesn't fit / would need active monitoring).

Full scored rubric so far:
{full_rubric_results_json}","{""score"": 0|2, ""reasoning"": str}"
b33_domainleadership_judgment,B (numbered 33) — GATE,J/GATE,"You are scoring one criterion of a stock-picking rubric for a personal, low-frequency, high-conviction investment account. STRICT TIME BOUNDARY: today, for the purpose of this task, is {as_of}. Simulate the judgment as it would have been made on that exact date, using only information knowable then — no hindsight about how the company's competitive position actually evolved afterward. This is a GATE, not a point score: dominant (5) or niche-leader (2) both QUALIFY the candidate for full scoring; sub-scale/commoditized (0) DISQUALIFIES it outright — the rest of the rubric does not get scored for a disqualified candidate. Respond with ONLY a JSON object: {""score"": 0|2|5, ""reasoning"": ""...""}","As of {as_of}, is {company} a top-tier/dominant leader in its specific market domain (clear #1 or #2, durable moat) or at least a solid niche leader (#3-4, real but not airtight moat) — durable enough to be worth holding through a full 10-year cycle regardless of near-term volatility? Or is it sub-scale/commoditized/easily disrupted? Score 5 (dominant leader), 2 (solid niche leader), or 0 (sub-scale/commoditized/disrupted) — based on {company}'s actual market position as of {as_of} only.

Company situation:
{company_brief}","{""score"": 0|2|5, ""reasoning"": str}"
