criterion_id,category,description,data_needed,fetch_method,verified_status,notes
b13_roe,B,"ROE >10%->3, >0%->1, negative->0",Return on equity value,"scan filter FILTER_TYPE_RETURN_ON_EQUITY",VERIFIED WORKING,Live in compounder and steady_value scans today.
b14_roa,B,"ROA >5%->2, >0%->1, negative->0",Return on assets value,"scan filter FILTER_TYPE_RETURN_ON_ASSETS",VERIFIED WORKING (live-tested 2026-07-07),"Live-tested on NVDA 2026-07-07: Return on assets=0.75418 returned cleanly. Also used extensively this session for compounder/steady_value probe scans across 70-94 tickers each - thoroughly confirmed working at scale, not just for one ticker."
b15_dividend,B,dividend_yield non-null -> 2,dividend_yield,"get_equity_fundamentals(symbols) -> dividend_yield field",VERIFIED WORKING,"Simple presence check, used throughout this session already."
b16_epstrend,B,EPS trend over last 2-4 quarters improving/flat/worsening -> 3/1/0,trailing quarterly actual EPS,"get_earnings_results(symbol) -> results[].eps.actual, compare last 2-4 non-null entries",VERIFIED WORKING,"Tested live 2026-07-07 on NVDA - returns up to 8 trailing quarters with both estimate and actual EPS. One call per symbol, no batch mode."
b17_leverage_judgment,B,Balance sheet/leverage doesn't look stretched -> 2/1/0,no direct debt/leverage filter exists,"No verified fetch method - pb_ratio (get_equity_fundamentals) is the closest indirect proxy, explicitly [J]",NO DIRECT DATA SOURCE,"Checked the full scanner-filter-spec list - no debt, leverage, or interest-coverage filter type exists anywhere. This criterion is judgment-only by the rubric's own design; don't force a fake mechanical proxy onto it."
c18_macd,C,MACD histogram turned positive in last ~2 weeks -> 4,MACD trend (histogram sign-flip),"get_equity_historicals(symbols, ~40+ daily bars) -> compute EMA(12)/EMA(26), MACD line=EMA12-EMA26, signal=EMA(MACD,9), histogram=MACD-signal, client-side; scan for a sign-flip in the trailing ~10 sessions.",VERIFIED WORKING (live-tested 2026-07-07),"Live-tested on NVDA 2026-07-07: full histogram series computed from 44 daily bars, last value -0.784, no positive crossover in the trailing 10 sessions -> correctly scores 0 (not N/A). IMPORTANT: the scanner's own FILTER_TYPE_MACD filter (interval=1d, length=14) also returns a value, but it does NOT match standard 12/26/9 MACD parameters (single length param, not three) and gave a materially different number (-2.66) on the same day - don't use the scanner snapshot for this criterion, use the historicals-based client-side calc, which is the only one that actually answers the 'turned positive' trend question."
c19_ema,C,Price has reclaimed a key EMA (e.g. 50-day) -> 3,EMA(50) value + current price,"scan filter FILTER_TYPE_EMA, interval=1d, length=50, compared against the scan's own Last/price column",VERIFIED WORKING,"Tested live 2026-07-07 (317 matches on mkt-cap>$50B + EMA>0 test scan, real EMA values returned per symbol)."
c20_aroon,C,Aroon Oscillator turned positive -> 3,Aroon Oscillator value,"scan filter FILTER_TYPE_AROON_OSCILLATOR, interval=1d, length=14",VERIFIED WORKING,"Live in the moonshot_growth scan today. 'Turned positive' (a trend) is being read as 'is positive' (a snapshot) currently - same trend-vs-snapshot gap as MACD."
c21_adx,C,"ADX shows a strengthening trend (rising, not just high) -> 2",ADX value,"scan filter FILTER_TYPE_AVERAGE_DIRECTIONAL_INDEX, interval=1d, length=14",VERIFIED WORKING,"Live in the moonshot_growth scan today, and live-tested on NVDA 2026-07-07 (ADX=19.19). Same snapshot-vs-rising gap as MACD/Aroon - current use reads 'is high' not 'is rising'; a historicals-based trend version wasn't written this pass, only MACD's trend calc was (see c18)."
c22_relvol,C,Relative volume > 1.3 on up days specifically -> 4,Relative volume value,"Scanner filter FILTER_TYPE_RELATIVE_VOLUME is unreliable (see notes). Use get_equity_historicals(symbols, start_time=~30 days back, interval=day) - compute today's volume / trailing-30-day average volume client-side, and check close>open for the 'on up days' qualifier.",VERIFIED WORKING (live-tested 2026-07-07),"Live-tested on NVDA 2026-07-07: relvol=0.656 (today's volume 108,999,015 / trailing-30d avg 166,123,516), was an up day=True - real varying value computed on the first attempt from the same historicals pull used for a4/a5/a6/c18/c23. Scanner filter FILTER_TYPE_RELATIVE_VOLUME confirmed still unreliable (returned exactly 1.0 for every candidate across 4 scans on 2026-07-07 earlier this session) - use this client-side calc instead, not the scanner filter."
c23_rsirecross,C,RSI crossed back above 30 after being below it -> 4,RSI at two points in time,"get_equity_historicals(symbols, ~30+ daily bars) - compute RSI(14) across the full bar series client-side (standard Wilder's smoothing) and find the actual crossover date, rather than relying on the scanner's single-day RSI snapshot.",VERIFIED WORKING (live-tested 2026-07-07),"Live-tested on NVDA 2026-07-07: full Wilder's-RSI series computed from 44 daily bars. NVDA's RSI never dipped below 30 in this window, so the calc correctly found no crossover event and scored 0 - not N/A. That's the calc working correctly (a real computed answer), not a fetch failure; the code is now implemented and reusable."
d24_epsbeat,D,Most recent quarter beat/missed/in-line EPS estimate -> 3/0/1,most recent quarter's estimate vs actual EPS,"get_earnings_results(symbol) -> results[-1].eps.estimate vs .actual (using the last entry with actual non-null)",VERIFIED WORKING,Tested live 2026-07-07 on NVDA - same call as b16_epstrend reused.
d25_noearnings2wk,D,No earnings report inside the next 2 weeks -> 2,next earnings date,"get_earnings_calendar(start_date=today, days=14) for market-wide, OR get_earnings_results(symbol) -> next entry with actual=null for a single symbol's date",VERIFIED WORKING,Both tools used successfully multiple times this session (portfolio-report's earnings-overlap checks used get_earnings_calendar directly).
d26_tailwind_judgment,D,Sector/theme has a genuine multi-year tailwind -> 4/2/0,sector + judgment,"get_equity_fundamentals(symbols) -> sector field, then [J] judgment via a fixed sector->score mapping","VERIFIED WORKING (mechanical input; judgment call is real)","Same sector field as a8. The tailwind_sectors mapping used across all 251 logged candidates 2026-07-07 is a real (if simple) judgment table, not a per-candidate placeholder."
d27_catalyst_judgment,D,Company description suggests a real inflection point -> 3/1/0,description text + external context (news/recent history),"get_equity_fundamentals(symbols) -> description field gives raw material; no news/catalyst-specific tool is connected in this session",PARTIAL DATA SOURCE - NO REAL ASSESSMENT DONE YET,"description field is available and was fetched for all 251 candidates, but was NOT actually read and scored per-candidate for this criterion in the 2026-07-07 run (previously defaulted to a flat +1, now correctly N/A). A genuine assessment would mean reading each description plus ideally a WebSearch for recent news - not done at this volume yet."
d28_pegroe_combo,D,"PEG<1.5 AND ROE>15% together -> 3, one only -> 1 (compounder archetype only)",PEG + ROE,"scan columns FILTER_TYPE_PEG + FILTER_TYPE_RETURN_ON_EQUITY (both already in the compounder scan's filter set)",VERIFIED WORKING,Directly computable from the compounder scan's own output columns.
e29_liquidity,E,Average volume / float supports easy entry/exit -> 2/1/0,average_volume + float,"get_equity_fundamentals(symbols) -> average_volume, float fields; compute turnover = avgvol/float",VERIFIED WORKING,Computed for all 251 candidates 2026-07-07.
e30_not_concentrated,E,Not already a large position in this name/sector -> 2/0,current portfolio holdings,"mcp__robinhood-trading__get_equity_positions(account_number) -> cross-check ticker against held symbols",VERIFIED WORKING (tool) / NOT ACTUALLY CROSS-CHECKED YET,"get_equity_positions is used routinely elsewhere in this repo (portfolio-report skill) and is reliable. For the 2026-07-07 opportunity scan, e30 was defaulted to full credit for every candidate on the ASSUMPTION none overlap current holdings - SPG was spot-checked manually and does overlap (already held) but wasn't caught systematically. This needs an actual get_equity_positions call cross-referenced against every candidate list, not a default."
e31_iv_extreme,E,IV elevated but not at distressed-debt extremes -> 2/0,historical or implied volatility,"scan filter FILTER_TYPE_HISTORICAL_VOLATILITY, interval=1d, length=30, AND FILTER_TYPE_IMPLIED_VOLATILITY, interval=1d, length=30 (same param pattern, both are equity-scanner filters, not an options-specific call)","VERIFIED WORKING (both HV and IV, live-tested 2026-07-07)","HV tested live 2026-07-07 (317 matches, e.g. NVDA 33.9%). IV also now live-tested on NVDA 2026-07-07: FILTER_TYPE_IMPLIED_VOLATILITY returned 0.3864 on the first attempt via the scanner filter itself - no options-specific call needed after all, the scanner exposes it directly."
e32_fitstyle_judgment,E,Fits the account's few-trades-a-quarter high-conviction style -> 2/0,holistic judgment across all other criteria,No fetch - inherently a synthesis judgment made after seeing everything else,NO DIRECT DATA SOURCE - BY DESIGN,"This is meant to be a final holistic call, not a data point. Don't try to mechanize it; previously defaulted to a flat +1 which was dishonest, now correctly N/A until an actual per-candidate synthesis judgment is made."
b33_domainleadership_judgment,B,"GATE (converted 2026-07-07): dominant/#1-2 or solid niche/#3-4 leader -> qualifies, logged 5 or 2, proceeds to full scoring; sub-scale/commoditized/easily-disrupted -> DISQUALIFIED, logged 0, rest of rubric not scored","description + competitive-position context (market share, named competitors)","get_equity_fundamentals(symbols) -> description/sector/industry fields give a starting point; for real confidence use WebSearch to check the company's actual competitive position and named competitors rather than guessing from the sector label alone","GATE - APPLIED BEFORE SCORING","Added 2026-07-07 as a scored [J] criterion (5/2/0 pts), converted the same day to a hard gate per user direction (""those are not scores, should be prefilter, skip stocks not qualified""). Only the bottom tier disqualifies; user confirmed both dominant-leader and niche-leader tiers should still proceed to full scoring. See rubric.md's ""Gates"" section and reports/rubric-changelog.csv id 8. Still the most time-consuming criterion to assess honestly per candidate - budget a WebSearch when the company description alone doesn't make the competitive position obvious."
_process_note,ALL,"2026-07-07 fetchability verification pass: every one of the 33 criteria was actually tried live against NVDA as a test ticker (scan filters run for real, historicals fetched and calculations written/executed in Python) rather than trusting the 'should be fetchable' status this file had carried for weeks.",n/a,n/a,VERIFICATION COMPLETE 2026-07-07,"Result: all 6 previously 'COMPUTABLE FROM HISTORICALS - NOT YET IMPLEMENTED' criteria (a4,a5,a6,c18,c22,c23) worked on the FIRST attempt once the calc code was actually written - the gap was never fetchability, it was that nobody had written ~10-20 lines of Python per criterion. Full detail, method-by-method, in reports/rubric-fetch-verification-2026-07-07.csv. Per CLAUDE.md's fetchability rule: before adding or keeping any future criterion, repeat this same one-ticker live-test process rather than marking it 'should work' from documentation alone."
